1,3,3,"My rating still stand b/c service even limited capacity super slow . However host greet super nice friendly . Our server cool , n't seem happy work , 's like 's present ca n't tell would rather elsewhere . The bread usually warm come cold , I ask warm bread I tell I wait come oven , I say 's fine , wait min , n't know forget . Finally ask another server bread . Then min later actual server come take new bread I stop say 's new bread someone else bring ... As far I order buffalo cauliflower brussel sprout . However brussel sprout feel tad bit cooked/roasted.Other everything cool , service slow 35 % capacity due Covid ."
2,3,3,"I love Cheesecake Factory , I happy open location Queens closer home . I 've din location couple timespre-covid , service terrible . Extremely slow ! Not par Long Island location.Recently I order take , experience much good , food package nicely . I would recommend take , want dine go Westbury"
6,2,2,"Update * I tell contact Cheesecake Factory never get response I receive extremely extremely RAW steak . Like omggggg . make new one , I n't even feel satisfied new meal . I get free something I go . My friend finish meal I get mine , ruin whole night . The new steak n't even taste good rush , n't season . And I 'm honestly picky steak . It n't taste like friend steak . The corn mash potato n't even good . The corn red pepper . Just extremely disappointed . I n't feel like handle raw meat Situation well either . The Cheesecake good thought . They stick dessert place ."
7,1,1,First JAZ great waiter . He wonderful job . He insightful recommendation knowledge different food drink would please us I love . The shrimp bistro really good actually good I order I would recommend dish . Yes Tuesday n't crowd seat right away . And temperature check seat . I would definitely visit location .
8,2,1,"The shepherd pie drench Grease , I order two crab artichoke dip . And cook undercooked taste like tuna ! ! ! ! Here go I like venture cheesecake factory favorite crab artichoke dip . The problem particular franchise seem hire mediocre sous chef . And manager Andrew get personal cause crab dip undercooked ... first rodeo I try educate manager Andrew I understand job I 've go cheesecake factory decade . I familiar menu . And actually sit try teach . Ha ha funny ! ! ! I hate shit place love cheesecake factory please n't go location 're gon na win mediocre staff hire know sheer history excellent yummy food . It seem sometimes place seem follow instruction instead taste food . And correct ! ! ! I simply want return food taste tuna dish although say crab . Take somebody Is familiarize menu dish ! ! ! I know dish cook I cook . It first time 's happen I 've encounter problem another location fix . The manager taste n't cook correctly taste like tuna ! ! ! ! ! So please Andrew advice manager honestly stop defensive start taste food . Stop educate people thing n't even know taste.I take two bite way make sure I taste correctly , daughter taste order door Dash 's door dash issue n't cook food . So Andrew next time customer call let know know menu good although work , long work . Venture outside store try cheesecake factory try dish 'll see guy location n't make right 're satisfy crab taste like tuna . Then go work subway . But I know I n't place order tuna ! ! ! Again understand I love cheesecake factory although venture turn horrible last visit location ! And I 'm definitely place order phone staff sure feed customer near mediocre shitty food . Thank much Andrew help n't much use . Stop defensive listen customer somebody 's telling taste like tuna place two order charge $ 30 I pay $ 30 fuck tuna mayo ."
9,3,3,"We order via DoorDash arrive estimate pick time . When , staff ignore inquiry get order . After 15-minute wait middle restaurant without idea I , finally waiter ask name order help pick . The food decent surprise pack properly . Our favorite stuff mushroom well grill sauce addictive . As expectation , food Cheesecake Factory would let definitely need improve service ."
5,1,1,"Not compare Willy Wonka Chocolate Factory , C & C Music Factory , Wedding Factory.Hot dang , cheesecake ! Get belly.I 've never meet cheesecake I n't like . Oh , salad like climb small mountain . The menu like encyclopedia delicious . Carb count ? LMAO ! Just open wide enjoy ride !"
11,2,2,"I loyal diner ( Queens ) Cheesecake Factory October 9th . I order normal meal 10 year history . Evelyn pasta eggplant due allergy . Cob salad avocado due bad interaction Warfarin . We get weekend home Newport RI ( 4 hour ) dismay find order wrong eggplant avocado present meal . I call night ask call morning . I speak manager inform I would order item Sunday return NYC . She state policy let guest service handle incident . This food `` like meal `` staff ignore `` bring allergy attention Policy `` could lead hospitalization lawsuit . I ask could order remake Sunday I would bring back Friday meal . No . I send ( 2 week later ) $ 25 gift card $ 50 meal cash tip . I call tell 10 year I complain 5 time flag . I inform manager Queens ' CF many issue experience . Bad service , long wait cold food , recipe substitution , CF normal standard . I get call Guest Services assure I list . The food free care list poor service poor attention detail . I appal never offer reimbursement food could eat . We loyal restaurant felt slap face . More 10 year 5 complaint would make good restaurant try make right . Cheesecake Factory colossal failure customer service . $ 10 dollar worth ingredient lose 20 year Copy receipt : ELMHURST , NY90-15 Queens Boulevard , Elmhurst , NY 11373Queens Center ( 718 ) 699-1212Order # 871405263 ( Note : You needthis number pickup ) Customer Name : Wayne Customer Email : Customer Contact Number : Payment Method : Credit Card Mastercard ORDER FOR PICKUP Order ready 4:07 PM , TODAY ( FRIDAY , 10/9/2020 ) For Pickup order , please see staff member direct pick order.1 x Oreo® Dream Extreme Cheesecake ( 1 x $ 9.50 ) = $ 9.50 * * * WHIPPED CREAM ON THE SIDE . 1 x Add Vanilla Ice Cream ( 1 x $ 1.95 ) = $ 1.951 x Evelyn 's Favorite Pasta ( 1 x $ 18.50 ) = $ 18.50CAROLYN * * * EXTRA BROCCOLI . ALLERGIC TO EGGPLANT . 1 x No Eggplant1 x Cobb Salad ( 1 x $ 17.50 ) = $ 17.50WAYNE * * * SUBSTITUTE BROCCOLI FOR AVOCADO . ALLERGIC T. 1 x Place Dressing Side1 x No AvocadoSUBTOTAL $ 47.45 REDEEMED : CHEESECAKE10 / $ 10 order $ 40 - see Terms Conditions full detail . ( $ 10.00 ) TAX $ 3.32TOTAL"
12,2,3,"I come think would brief moment , mistake . I come slice dulce de leche cheesecake Valentine 's Day . Understandingly pack . I four people front order . For one cheesecake , take 30-40 min . I leave without check slice give $ 9 get tiny piece . I shock disappoint . The young lady register nice , n't get charge $ 9 give small slice ."
14,3,3,"Chains favorite pleasantly surprise visit location.After disastrous family photo session mall , stop respite . Our six month old fall asleep ( praise Jesus ! ) need place could keep nap stroller . The staff kind enough oblige us give us quieter spot corner . Our stroller relatively compact allow keep open - interior lighting dim plus us.The waiter start us warm bread keep glass refill . While entirely authentic , I major complaint chilaquiles jambalaya hash weekend brunch menu . The jambalaya good two dish heat . The chilaquiles bit bland comparison . Our waiter friendly attentive even run table . While food n't wowful , excellent service willingness staff accommodate us tired mama leave satisfied ."
