"1|3|Came I business call take need quiet space . Since little one , I go ahead order kid 's meal consist personal pan pizza drink . The cashier nice . The place clean . Ample seat downstairs location Midtown n't crowd . Now I imagine lol.The pizza ... well , I grow eat Pizza Hut pretty disappointed . I think pretty funny I long 2 Bros dollar pizza Chelsea . Eating Pizza Hut pizza make hungry . How even possible lol ? !"
"2|2|Go like ghetto bum bug stuff angle . If get lucky , 'll even help food !"
3|1|I n't even try food yet Quantel make whole night much good sheer kindness passion humanity . She truly incredible employee help turn whole night around another old employee tell leave . Thank Quantel
"4|3|Of course good place get pizza NYC -- duh ! But since I grow Pizza Hut , I get craving . And spot close job , I 've problem stopping pie . Now , place ridiculously expensive ? Of course . It 's stone 's throw away Times Square . Is staff rude ? Nope . Not . Is place dirty ? Given location , I 'd say . Look , I come , I know I 'm get . And I ai n't complain ."
"5|2|This place suck ! It extremely cold ! Took forever finally get food . The food good either opinion . There reason one space heater place , two people work , look vacant ! Do come ! ! ! What waste money TIMEEEE !"
"6|2|The bad thing KFC price , rude sale associates/cashiers . You pay $ 9 two piece grill combo ! This without drink . Add drink , bring total $ 11.25 . For price , walk couple step eat Applebee 's next door , instead take tray food rude teenage cashier , least rude teenager bring food you.The Pizza Hut n't much well . The price outrageous , pizza either sit long time , poorly cook , ( I KNOW ! ) . It 's okay , red hot anger usually melt cheese top fine.My friend I jokingly refer KFC 'The Dungeon ' , main seating area locate underground ( window ) . We also call The Dungeon 's absolutely disgust place sit enjoy meal . They recently renovate area , still sour smell . Since window , ventilation , smell sour mop usually permeate whole space . It smell like porn shop ( sperm ammonia ) ... I know smell like , 's I 've heard.The seating cramp uncomfortable . You may literally sit right next loud group Spanish tourist wo n't shut ( expletive ) ! Cayate por favor ! But yes , seat close together.Many table wobbly many broken underneath . Overall great space eat.Overall place go desperate n't time walk somewhere else . It 's really expensive , may choose movie two piece box meal . Bon Apetit !"
"7|2|My friend I recently talk bad pizza get NY , Pizza Hut come . Since dumb , decide come give shot see truly bad pizza land . It . The bad part ? A plain pie cost $ 18 size nearly half buy hole-in-the-wall place ( whole lot cheap , ) . The crust faint taste freezer burn , make wonder long thing frozen heat . And location dirty I 'm confident 100s rat cockroach resident basement.Awful . Just .... n't . I 'm ashamed ."
"8|2|Wanted try Boneless ( I ATE The Bones ! ! ! ) type chicken I 'm Avid KFC , KGC & name , life , another ridiculously bad experience THIS location ! ! ! My GF hesitate eat could n't even tell White Meat really white meat ( n't like dark meat chicken ) I agree . We cut piece half dissect still section look exactly like DARK meat chicken I love .. I thankful cuz `` 's `` I start eat ... It 's like add twice seasoning & salt mix . Very peppery/spicy `` bearable `` I realize salty , . I could satiate thirst , wake middle night HUGELY parch get drink HUGE glass water I get up.The service usually bad , occasion make ALL BAD . Not worthwhile experience all.Wish I could give ZERO !"
"9|2|This definitely bad Pizza Hut ever . I really surprised Pizza Hut Corporation intervene location especially since heavily tourism area.I go particular location twice . Two year apart neither time I able eat meal Do n't get wrong , I love love love Pizza Hut.The last time I go particular Pizza Hut , I order Diet coke order bread stick . The breadstick hard I could even bite . The first breadstick literally make snapping sound I. break it.I try eat breadstick . I dunk bread stick sauce give . I think sauce nice warm , maybe I try eat . Well I could n't The breadstick really hard rocks.I take order cashier . I apologize pest . I explain wrong order . The cashier nice take . She tell wait minute . She give I think new order . I sit warm breadstick . Pulled one . It break . It breadstick . They warm BUT hard rock . I make joke take unbroken breadstick less play drum table So , I throw breadstick away left.Also location really clean . Again I n't understand corporate allow go I understand location may franchise ( I n't know ) , location give Pizza Hut bad name"
10|2|This KFC poor sanitation . The garbage area filthy unkept . They overflow spill much waste leave customer worker n't anything .
