1,1,4,"This place come long way last year . Until recently , service dreadful length time take get simple pepperoni pizza breadstick could early 45 minute place empty far refill , forget . So stop go would order pick-up make 30 minute drive get . About 6 month ago , one kid insist eat inside restaurant . I shock see full staff server attentive pizza delicious . I surprised taste like Pizza Hut pizza I enjoy much I kid , 400 mile away . Overall , I give 4-star rating . The server usually great staff I 've encounter n't friendly ."
5,2,3,Worst Pizza Hut pizza ever ! Online order estimate 30 minute order take hour receive . ... take 30 minute get receive notification `` way `` - 're 3 mile away ! Needless say order cold .
6,1,1,New decor work 's . Lunch buffet busy bar 's remain full time 's . Very friendly service .
7,2,2,Terrible waiter name patti ! ! ! ! Súper Slow get order confuse . Was behind delivery 's !
8,2,4,"It 's already bad enough 's Pizza Hut obviously 's go great . But discontinue gluten-free pizza crust rest company still sell , huge middle finger customer need . If 10 pizza place within 5 mile , 10 good dump ."
2,2,2,"Waited 3 hour mess order , would n't refund unless I RETURNED pizza open home . Absolutely regard COVID guideline . I 'm completely disgust ."
10,1,4,"My brother I stop Pizza Hut visit Botanical Gardens mostly nostalgic reason . The staff courteous service excellent . We arrive early Saturday morning , first order . Our order cook freshly order , I appreciate . Given food make order , bit wait ( 20+ minute ) , even relatively small order ( one personal pie ) , black chair sit wait one 's order ready one walks restaurant rather drive park front . The restaurant clean menu easy read . Unfortunately , Pizza Hut n't deliver address even though I 1.5 mile away ( Bed-Stuy ) . The manager restaurant day , pleasantly greet us , tell us order would ready soon ( order dinner box six personal supreme pie ) . Our pizza slightly under-cooked , otherwise tasted fantastic . I would definitely come , , I area . The attention customer service , tasty food , fact Pizza Huts leave NYC , make great stop pizza one want experience old American pizza franchise ."
11,2,4,"As I 'm sit wait pizza , I mixed emotion experience . I decide start review I want fair level , I 'm go start good.As I walk establishment employee behind cash register greet oh , I give order number seem pleasant . I sit another customer walk ask want hear special day . And 's positive ends.The negative begin , walk door Pizza Hut . It smell though clean mop use garbage floor . I walk sit car smell become overbear . When I walk back see food ready , I greet empty space ( one front ) I stand good five minute say hello hello anyone come front see I want . That employee greet nicely , I turn ask another question I notice 's head phone ."
12,2,2,Pizza Hut n't actually deliver food door . I order delivery time never happen . Had I know I would walk 2 block buy decent slice . I guess 's awhile since I 've Pizza Hut pizza quality go way hill . I order extra cheese pizza barely enough cheese top call pizza . Waited almost hour 1 medium pie . Ugh . I learn lesson . I 'll never eat Pizza Hut !
13,2,2,The POS go I wait carry order 40 min . One employee touch phone food handle glove n't even bother discard put new pair glove . Staff need retrain proper food handling procedure .
