1,1,1,"The location of this Hilton is awesome. If you enjoy running outdoors, they are just a few blocks from a walking and biking path that runs along the Hudson River and is a beautiful/safe place to exercise. I love that this is an alternative if the onsite gym is full. They are also within a quick walk to a ton of great restaurants in Tribeca, China Town, and Soho, as well as  a bunch of subway stops to take you further away. My room was clean and spacious, and the bathroom was also a nice size. The only thing I would say with this hotel is that the breakfast is less than great. It left a lot to be imagined, but it did cover the basics (oatmeal, yogurt, fruit, eggs, bacon, potatoes, bread)."
5,2,1,"Nice enough property located in the heart of SoHo. That being said it's within walking distance to everything you'll love about Tribeca. Parks, museums, boutiques, high-end shops, vintage stores, restaurants, markets, bakeries, pizza joints, bars, bodegas, coffee cafes, you name it!There's a restaurant located on the first floor of the hotel, gym in the lower level along with business center for your printing, computer, working needs and refreshing water at the entrance. Rooms were decent. Equipped with coffee, frig and toiletries. Requesting fresh towels & a working iron took a while and there was a gigantic roach on the first floor as I waited for the elevator. I immediately advised the front desk gentleman who apologized. I was however grossed out. Completed my stay but won't be my first choice on rebooking in the future. ~Christy"
2,2,4,"I am sitting in the lobby after staying here last night, waiting for my partner to get the car.We decided to stay in NYC since we were meeting someone to celebrate their birthday.  We just needed a nice hotel to share a dinner (take-out), dessert and a celebratory drink.  Really the only thing we need other than that is a nice place to sleep and shower.The hotel is nice.  The room was nice - and more spacious than expected in NYC.   There was a mini fridge and microwave. Unfortunately, that's where the ""nice"" ends.We were warned when we checked in that due to the low occupancy rate, it takes ""a while"" for the water to get hot.After letting the sink water run for about 5 minutes, it was still only luke warm.  When I called guest services, she told me it had to run 10-15 minutes for hot water.  I told her it was running a while and it was barely luke warm.  We tried again but then just got frustrated and turned it off.We pretty much gave up last night trying to wash our hands with anything even close to hot water.  Hey - there's a damn pandemic going on.  Soap and hot water would have been nice.So this morning we turned the shower on about 1/2 hour before was wanted to shower and leave.Luke warm. I called and they offered to send a person up to see why we had no hot water.  Too late.  We were getting ready to leave.  They knew yesterday it was only luke warm.  We could not even shower before we left.  I cannot even begin to imagine how much water is being wasted in this hotel.  It's disgusting.  I wonder if corporate knows about this.We expect more from the Hilton name.(Now we know why we had to ask for a bar of soap for the shower last night.  They only gave us one for the sink.  No one can shower with luke warm water...lol)Also want to note that the heating unit is EXTREMELY LOUD.  I am not exaggerating.   Sleep was not easy.  The street noise of Manhattan would have been quieter than the heating unit!"
7,1,1,"Cyndy's Bottom Line:  No frills, clean, and convenient location.*Great location easy to get around from.*Easy access to subway*Water pressure is good and the water will get really HOT quick.*Decent size spartan room by NY standards.*Price point - you get for what you paid for.*Slow elevator - be patient.*Friendly & attentive service.*Great service from Teddy Bear and entire staff."
8,4,1,"Like any other hotel in NY City, this place is not cheap.  It is a bit far (relatively) from actions.  There are some eateries around but it is a good walk away from the Greenwich Village and Chinatown.  The good thing is it's close proximity to E train (subway).  The room and bed are okay and I've no problem with it thus far. I like the eKey and digital check in ( so I don't need to go to the front desk).  It is a hotel room for a good rest after a 14 hour day but nothing really that special."
9,1,4,"This hotel is a whole lot better than the reviews would lead you to believe.  I have passed this Hilton Garden Inn dozens of times, in years gone by, without giving it a second look. It is located in my preferred area of New York. Since 1990, I only stay downtown; Soho, Tribeca, Battery Park, The Village, Nolita, The East Village, and the Lower East Side are the only options.  You won't see me midtown. Ain't going to happen. In the past I have stayed at the Soho Grand, the Tribeca Grand (The Roxy) The Smyth, The James, The Thompson, Hampton Inn on Watts, The Trump Soho, Duane Street Hotel, The Conrad, etc. Yes, I have stayed at a lot of hotels through the years. Hotel prices and hotel taxes in New York have gone up exponentially.  The pricing can be ridiculous. The Hilton Garden Inn Tribeca is in a fantastic and safe location, walking distance to the Village, Soho, Little Italy, Chinatown, the East Village etc. The day time personnel are great, but beware of the weekly, night time staff. They can be surly.  Rooms are small, but clean with good water pressure, excellent AC, and our room was quiet. Bathrooms are also tiny, but everything works.  When the Tribeca Hilton Garden Inn is $60 or more per night cheaper than the other hotels in the area, that is irresistible. Just think what that can buy, or the great meals you can have with the money saved. This will be my #1 go to hotel on future trips to New York. Hopefully, I'll save a ton of dough."
10,2,2,"I usually stay further uptown when visiting Manhattan but decided to give TriBeCa a try. While I love the area, this hotel didn't measure up. Firstly, when I opened the door to my room, the stale air almost made me turn around and leave. It smelled like fresh hadn't reached this room in quite a while. Since I got in after midnight, finding another hotel was not an option so I decided to just make the best of it. I first checked the bed. The box spring had no cover on it and was a yellowed version of what used to be white. The mattress had only a thin cotton sheet which was very wrinkled. I slept on top of the covers with my clothing still on and left the next day. In the bathroom, the tissue box seemed to have old tissues stuffed back inside of it. There are so many nicer boutique hotels close by. Do yourself a favor and stay in one of them."
3,1,1,We stayed here 8/15/19 to 8/19/19 Hotel is very clean. Rooms are typical for a lower priced City property which means small. The staff was always very friendly and helped with any requests. This hotel literally sits on top of the subway A C E trains. You can get anywhere in the city from here quickly. It only takes a few trips to figure things out. We started by using Uber and never waited more than 2 minutes for a car. The restaurant attached to hotel has a great happy hour and I highly recommend the shrimp app. Loved the sauce. I would definitely stay here again on our next trip to NYC.
6,1,1,"Booked the penthouse suite because I wanted extra space so that my friends could drop by and visit. Check-in was fast and friendly. Arlene at front desk was helpful. I requested a couple folding chairs for the room and the staff was more than accommodating. We enjoyed our stay. As long as you are familiar with the HGI brand then you are fine. Last but not least, street parking was not an issue on Saturday night & all day Sunday. Subway across the street and location is near Holland Tunnel. Comfortable & quiet stay."
12,1,1,"What can I say about the Hilton Garden Inn TriBeCa? That it is an outstanding hotel establishment with kind staff, unbelievably comfortable beds, great views, and much more. Some friends and I were out for one of our girlfriends birthdays, we are from NJ and had not initially planned on spending the night. As our evening progressed it was clear we did not want to go through the headache of catching the train back home. I immediately went online and found a reasonably priced room at the Hilton Garden Inn TriBeCa. I said to the ladies ""we have to book this!"" and we did! I called the hotel to ensure we would be able to have a late check-in as we were out on the town and it didn't seem as though the fun would be winding down anytime soon (City that never sleeps am I right???!) and they were very accommodating and allowed a very late check-in! Upon our arrival I was beaming because of how great the location was! Right down the road from the Freedom Tower!!! The front desk attendant assisted us with our check-in and sent us right up to a corner room on the sixth floor (top floor) which housed two of the most COMFORTABLE and PLUSH double beds I have ever laid on. At this point we had no complaints other than the lack of robes, and yes, this was a very minor complaint. When we awoke the next morning I couldn't believe the view! An absolutely stunning little area. It was truly a great stay. We were able to then enjoy an ice brunch in the area after sleeping in a bit. So if you are asking me ""should I spend an evening at the Hilton Garden Inn TriBeCa?"" My answer will me 11/10 YES!! It was a phenomenal experience especially given how last minute the booking was.To conclude, will I be returning for another stay? I'm sure you can already infer that answer, but I'm going to tell you anyway...ABSOLUTELY!"
13,4,4,"Very basic hotel. It could really use some updates with fraying carpet at thresholds and scratchy (low quality) sheets. The coffeemaker/Keurig was also really dirty, so run water through it a few times before using it. The night manager, Larissa, always greeted me with a smile when I came into the hotel. I literally upped my rating of the hotel by one star due to her warmth and overall awesomeness. Location is great, especially if you need to use the Holland Tunnel at all. Plenty of places to walk to (try the bodega across the street for a delicious and inexpensive breakfast sandwich), just be careful of the homeless encampment a couple blocks north of the hotel. Fitness center (in the basement) was small, but modern. Sports bar inside the hotel was jamming the night of one of the basketball playoff games."
15,1,1,We came here on a business trip. Hilton Garden Inn Tribeca staff are incredible! We needed an early check in... i called as soon as the plane landed and they set it up for us. We were and will forever be grateful as we needed it for reasons unsaid! The room was very clean and quiet! The location is awesome and there is a subway station right outside the main entrance! The staff are all very welcoming and intentional! We will be back!
16,2,2,"During our 3rd stay here last weekend, we experienced two security issues. We locked the room and left for 4.5 hours. When we returned, our door was ajar and held open by the deadbolt latch. It had not been serviced by housekeeping. When we immediately called the front desk, they had no explanation. Housekeeping said they had not entered our room, and the doorlock data showed inaccurate data that was not useful. We think it's important for our hotel rooms to stay locked when we are gone. Secondly, when we retrieved our bag from the lobby valet, it had someone else's bag attached to the handle. If we had not been honest and returned it, we easily could have left with an extra bag that was not ours. There was no verification of our name, number of bags or claim number by the valet attendant.  We can handle the slow elevators, noisy halls and bad pillows (as evidenced by previous stays), but these two security incidents will prevent us from returning."
17,1,1,"Best service, location and rooms. I had a great experience with the staff, especially Jasmine. She checked us in, got us a early check in on the quiet side of the hotel and kept checking on us our entire stay. Her smile and positive attitude was seen in every staff member. Great place, ran by even better people. I will be returning!"
